"order_item_id","order_id","product_id","quantity","unit_price","subtotal"
"ORDITEM_ORD_000000_0","ORD_000000","PROD_000078","1","937,07","937,07"
"ORDITEM_ORD_000000_1","ORD_000000","PROD_000044","2","381,68","763,36"
"ORDITEM_ORD_000000_2","ORD_000000","PROD_000110","3","674,89","2024,67"
"ORDITEM_ORD_000000_3","ORD_000000","PROD_000075","2","965,46","1930,91"
"ORDITEM_ORD_000001_0","ORD_000001","PROD_000292","3","613,64","1840,93"
"ORDITEM_ORD_000002_0","ORD_000002","PROD_000359","3","504,66","1513,99"
"ORDITEM_ORD_000002_1","ORD_000002","PROD_000386","1","152,76","152,76"
"ORDITEM_ORD_000002_2","ORD_000002","PROD_000223","1","624,58","624,58"
"ORDITEM_ORD_000002_3","ORD_000002","PROD_000174","1","260,36","260,36"
"ORDITEM_ORD_000003_0","ORD_000003","PROD_000403","1","89,73","89,73"
"ORDITEM_ORD_000004_0","ORD_000004","PROD_000095","3","829,48","2488,43"
"ORDITEM_ORD_000004_1","ORD_000004","PROD_000076","3","438,24","1314,73"
"ORDITEM_ORD_000004_2","ORD_000004","PROD_000132","3","328,06","984,17"
"ORDITEM_ORD_000005_0","ORD_000005","PROD_000031","2","619,84","1239,68"
"ORDITEM_ORD_000005_1","ORD_000005","PROD_000118","2","621,26","1242,51"
"ORDITEM_ORD_000005_2","ORD_000005","PROD_000187","1","772,49","772,49"
"ORDITEM_ORD_000006_0","ORD_000006","PROD_000442","1","959,27","959,27"
"ORDITEM_ORD_000006_1","ORD_000006","PROD_000022","3","905,41","2716,24"
"ORDITEM_ORD_000006_2","ORD_000006","PROD_000281","3","64,65","193,94"
"ORDITEM_ORD_000006_3","ORD_000006","PROD_000373","3","945,35","2836,05"
"ORDITEM_ORD_000007_0","ORD_000007","PROD_000353","1","897,69","897,69"
"ORDITEM_ORD_000007_1","ORD_000007","PROD_000227","2","577,62","1155,25"
"ORDITEM_ORD_000007_2","ORD_000007","PROD_000143","2","252,79","505,57"
"ORDITEM_ORD_000007_3","ORD_000007","PROD_000395","3","387,05","1161,15"
"ORDITEM_ORD_000008_0","ORD_000008","PROD_000420","3","172,85","518,56"
"ORDITEM_ORD_000008_1","ORD_000008","PROD_000370","1","959,48","959,48"
"ORDITEM_ORD_000008_2","ORD_000008","PROD_000347","3","491,41","1474,24"
"ORDITEM_ORD_000009_0","ORD_000009","PROD_000354","2","649,93","1299,87"
"ORDITEM_ORD_000010_0","ORD_000010","PROD_000451","1","795,86","795,86"
"ORDITEM_ORD_000010_1","ORD_000010","PROD_000037","3","152,22","456,67"
"ORDITEM_ORD_000011_0","ORD_000011","PROD_000416","2","599,91","1199,83"
"ORDITEM_ORD_000012_0","ORD_000012","PROD_000187","3","23,87","71,62"
"ORDITEM_ORD_000012_1","ORD_000012","PROD_000138","3","204,43","613,29"
"ORDITEM_ORD_000012_2","ORD_000012","PROD_000136","1","79,34","79,34"
"ORDITEM_ORD_000013_0","ORD_000013","PROD_000417","1","352,19","352,19"
"ORDITEM_ORD_000013_1","ORD_000013","PROD_000026","3","645,23","1935,69"
