"order_id","user_id","order_date","total_amount","status","payment_method","shipping_address"
"ORD_000000","USR_000681","2024-10-27T22:49:39.447589663","5656,02","CANCELLED","BANK_TRANSFER","Houston"
"ORD_000001","USR_000127","2024-10-10T22:49:39.447940587","1840,93","CONFIRMED","BANK_TRANSFER","Miami"
"ORD_000002","USR_000363","2024-11-25T22:49:39.447985313","2551,69","DELIVERED","CREDIT_CARD","Miami"
"ORD_000003","USR_000478","2024-09-10T22:49:39.448102335","89,73","SHIPPED","DEBIT_CARD","Houston"
"ORD_000004","USR_000407","2024-10-04T22:49:39.448143547","4787,33","SHIPPED","PAYPAL","Chicago"
"ORD_000005","USR_000473","2024-09-12T22:49:39.448248849","3254,69","CONFIRMED","PAYPAL","Miami"
"ORD_000006","USR_000939","2024-10-14T22:49:39.448340153","6705,50","DELIVERED","CREDIT_CARD","Los Angeles"
"ORD_000007","USR_000456","2024-10-04T22:49:39.448449282","3719,67","CONFIRMED","DEBIT_CARD","Houston"
"ORD_000008","USR_000297","2024-10-12T22:49:39.448552884","2952,28","DELIVERED","PAYPAL","New York"
"ORD_000009","USR_000816","2024-10-16T22:49:39.448629683","1299,87","CONFIRMED","PAYPAL","Chicago"
"ORD_000010","USR_000110","2024-10-27T22:49:39.448684063","1252,53","PENDING","CREDIT_CARD","Miami"
"ORD_000011","USR_000762","2024-11-20T22:49:39.448741067","1199,83","CONFIRMED","DEBIT_CARD","Chicago"
"ORD_000012","USR_000153","2024-11-29T22:49:39.448780580","764,25","SHIPPED","CREDIT_CARD","Miami"
"ORD_000013","USR_000254","2024-11-18T22:49:39.448861315","3295,74","CONFIRMED","BANK_TRANSFER","New York"
"ORD_000014","USR_000508","2024-11-18T22:49:39.448969167","5182,52","DELIVERED","CREDIT_CARD","Los Angeles"
"ORD_000015","USR_000944","2024-10-15T22:49:39.449054668","1720,58","CANCELLED","DEBIT_CARD","Chicago"
"ORD_000016","USR_000290","2024-11-03T22:49:39.449135627","2946,93","CONFIRMED","BANK_TRANSFER","Chicago"
"ORD_000017","USR_000843","2024-10-03T22:49:39.449224323","65,06","CONFIRMED","PAYPAL","Los Angeles"
"ORD_000018","USR_000750","2024-09-22T22:49:39.449346937","529,84","SHIPPED","BANK_TRANSFER","New York"
"ORD_000019","USR_000043","2024-11-19T22:49:39.449390169","1102,44","DELIVERED","BANK_TRANSFER","Houston"
"ORD_000020","USR_000155","2024-11-04T22:49:39.449460886","2047,90","DELIVERED","PAYPAL","Houston"
"ORD_000021","USR_000796","2024-11-06T22:49:39.449508344","2695,25","DELIVERED","DEBIT_CARD","New York"
"ORD_000022","USR_000411","2024-12-03T22:49:39.449589727","6903,98","DELIVERED","CREDIT_CARD","Houston"
"ORD_000023","USR_000347","2024-11-21T22:49:39.449662599","469,14","DELIVERED","CREDIT_CARD","Los Angeles"
"ORD_000024","USR_000607","2024-10-01T22:49:39.449723617","4673,25","DELIVERED","BANK_TRANSFER","Chicago"
"ORD_000025","USR_000602","2024-09-19T22:49:39.449806437","3744,36","PENDING","PAYPAL","Miami"
"ORD_000026","USR_000304","2024-09-26T22:49:39.449870872","4662,76","SHIPPED","CREDIT_CARD","Miami"
"ORD_000027","USR_000798","2024-10-15T22:49:39.449942516","1771,46","CANCELLED","PAYPAL","Miami"
"ORD_000028","USR_000022","2024-10-04T22:49:39.449989895","340,84","CANCELLED","CREDIT_CARD","Miami"
"ORD_000029","USR_000770","2024-11-16T22:49:39.450026180","2001,70","PENDING","PAYPAL","New York"
"ORD_000030","USR_000749","2024-09-22T22:49:39.450077953","20,58","CANCELLED","CREDIT_CARD","New York"
"ORD_000031","USR_000791","2024-10-17T22:49:39.450109070","2886,57","CONFIRMED","CREDIT_CARD","New York"
"ORD_000032","USR_000225","2024-10-30T22:49:39.450158466","4553,78","CONFIRMED","DEBIT_CARD","Houston"
"ORD_000033","USR_000897","2024-09-27T22:49:39.450248826","520,18","DELIVERED","CREDIT_CARD","Chicago"
"ORD_000034","USR_000600","2024-10-04T22:49:39.450281151","944,43","PENDING","PAYPAL","Chicago"
"ORD_000035","USR_000098","2024-11-14T22:49:39.450332317","914,75","CANCELLED","CREDIT_CARD","New York"
"ORD_000036","USR_000752","2024-10-17T22:49:39.450376907","38,72","CANCELLED","CREDIT_CARD","New York"
"ORD_000037","USR_000570","2024-10-03T22:49:39.450407873","697,10","CONFIRMED","DEBIT_CARD","Los Angeles"
"ORD_000038","USR_000047","2024-12-03T22:49:39.450444439","2348,23","CANCELLED","PAYPAL","New York"
"ORD_000039","USR_000802","2024-12-02T22:49:39.450502988","6826,52","DELIVERED","PAYPAL","New York"
"ORD_000040","USR_000281","2024-09-28T22:49:39.450574828","234,33","PENDING","CREDIT_CARD","Los Angeles"
"ORD_000041","USR_000533","2024-09-20T22:49:39.450611569","4803,03","SHIPPED","DEBIT_CARD","Houston"
"ORD_000042","USR_000578","2024-09-20T22:49:39.450672252","4497,31","DELIVERED","DEBIT_CARD","Miami"
"ORD_000043","USR_000135","2024-11-19T22:49:39.450756896","1488,44","PENDING","BANK_TRANSFER","Miami"
"ORD_000044","USR_000550","2024-09-13T22:49:39.450792721","618,01","PENDING","CREDIT_CARD","Chicago"
"ORD_000045","USR_000240","2024-10-07T22:49:39.450834540","6072,01","CONFIRMED","DEBIT_CARD","New York"
"ORD_000046","USR_000171","2024-09-12T22:49:39.450912181","708,85","SHIPPED","DEBIT_CARD","Houston"
"ORD_000047","USR_000063","2024-11-24T22:49:39.450954594","911,47","SHIPPED","PAYPAL","Miami"
"ORD_000048","USR_000426","2024-10-28T22:49:39.450991110","4819,86","DELIVERED","DEBIT_CARD","Houston"
"ORD_000049","USR_000431","2024-09-17T22:49:39.451058759","2748,87","CONFIRMED","DEBIT_CARD","Houston"
"ORD_000050","USR_000045","2024-11-02T22:49:39.451134659","4319,09","SHIPPED","DEBIT_CARD","New York"
"ORD_000051","USR_000960","2024-11-29T22:49:39.451225698","83,76","CONFIRMED","CREDIT_CARD","Houston"
"ORD_000052","USR_000580","2024-10-11T22:49:39.451254314","4583,60","DELIVERED","DEBIT_CARD","Houston"
"ORD_000053","USR_000200","2024-09-23T22:49:39.451327126","696,34","DELIVERED","BANK_TRANSFER","Houston"
"ORD_000054","USR_000017","2024-09-11T22:49:39.451354469","1868,24","PENDING","BANK_TRANSFER","Los Angeles"
"ORD_000055","USR_000644","2024-09-08T22:49:39.451389161","3675,22","DELIVERED","DEBIT_CARD","Los Angeles"
"ORD_000056","USR_000873","2024-11-26T22:49:39.451451993","513,13","DELIVERED","PAYPAL","New York"
"ORD_000057","USR_000907","2024-11-27T22:49:39.451479273","989,09","PENDING","BANK_TRANSFER","Houston"
"ORD_000058","USR_000579","2024-11-06T22:49:39.451506221","4817,32","PENDING","DEBIT_CARD","Los Angeles"
"ORD_000059","USR_000630","2024-12-06T22:49:39.451559408","4093,02","SHIPPED","BANK_TRANSFER","Miami"
"ORD_000060","USR_000891","2024-09-16T22:49:39.451633926","1038,64","PENDING","PAYPAL","Houston"
"ORD_000061","USR_000522","2024-10-29T22:49:39.451676044","1378,72","DELIVERED","DEBIT_CARD","Houston"
"ORD_000062","USR_000241","2024-12-02T22:49:39.451715514","7344,77","SHIPPED","CREDIT_CARD","Chicago"
"ORD_000063","USR_000534","2024-10-21T22:49:39.451785530","2313,96","CANCELLED","PAYPAL","New York"
"ORD_000064","USR_000250","2024-09-20T22:49:39.451826511","1832,62","CONFIRMED","PAYPAL","Miami"
"ORD_000065","USR_000504","2024-11-03T22:49:39.451899206","2018,48","CANCELLED","PAYPAL","Chicago"
"ORD_000066","USR_000912","2024-11-30T22:49:39.451928496","1162,47","PENDING","PAYPAL","Los Angeles"
"ORD_000067","USR_000319","2024-09-17T22:49:39.451957868","4430,82","CONFIRMED","BANK_TRANSFER","Los Angeles"
"ORD_000068","USR_000126","2024-12-05T22:49:39.452015656","1210,53","CANCELLED","PAYPAL","Los Angeles"
"ORD_000069","USR_000710","2024-09-15T22:49:39.452061215","5388,42","PENDING","BANK_TRANSFER","Miami"
"ORD_000070","USR_000810","2024-09-18T22:49:39.452120112","3093,59","DELIVERED","CREDIT_CARD","Chicago"
"ORD_000071","USR_000548","2024-10-13T22:49:39.452162433","1968,48","CONFIRMED","DEBIT_CARD","Chicago"
"ORD_000072","USR_000763","2024-10-20T22:49:39.452219319","7948,75","SHIPPED","PAYPAL","Chicago"
"ORD_000073","USR_000067","2024-11-29T22:49:39.452288829","3062,91","PENDING","DEBIT_CARD","Houston"
"ORD_000074","USR_000794","2024-10-23T22:49:39.452365063","347,45","DELIVERED","BANK_TRANSFER","Miami"
"ORD_000075","USR_000265","2024-09-21T22:49:39.452398751","2342,99","SHIPPED","DEBIT_CARD","Houston"
"ORD_000076","USR_000682","2024-11-15T22:49:39.452455586","28,30","DELIVERED","DEBIT_CARD","Los Angeles"
"ORD_000077","USR_000335","2024-11-01T22:49:39.452490545","5833,56","CONFIRMED","DEBIT_CARD","New York"
"ORD_000078","USR_000758","2024-11-25T22:49:39.452556740","2417,20","CONFIRMED","PAYPAL","Chicago"
"ORD_000079","USR_000858","2024-09-13T22:49:39.452619414","1128,35","CANCELLED","CREDIT_CARD","Miami"
"ORD_000080","USR_000486","2024-10-16T22:49:39.452656196","3876,75","PENDING","BANK_TRANSFER","Miami"
"ORD_000081","USR_000669","2024-09-28T22:49:39.452723339","591,23","SHIPPED","CREDIT_CARD","Miami"
