"user_id","recommended_product_id","recommendation_score","recommendation_type","generated_date"
"USR_000180","PROD_000331","0,883","COLLABORATIVE","2024-12-06T07:49:39.692841821"
"USR_000180","PROD_000465","0,545","COLLABORATIVE","2024-12-06T02:49:39.692891509"
"USR_000180","PROD_000138","0,853","POPULARITY","2024-12-06T07:49:39.692906403"
"USR_000180","PROD_000219","0,551","CONTENT_BASED","2024-12-06T05:49:39.692922081"
"USR_000180","PROD_000261","0,607","TRENDING","2024-12-06T16:49:39.692937555"
"USR_000330","PROD_000126","0,832","CONTENT_BASED","2024-12-06T07:49:39.692956885"
"USR_000330","PROD_000494","0,610","POPULARITY","2024-12-06T18:49:39.692986753"
"USR_000330","PROD_000021","0,674","POPULARITY","2024-12-06T15:49:39.693003138"
"USR_000330","PROD_000487","0,746","POPULARITY","2024-12-06T19:49:39.693019679"
"USR_000330","PROD_000340","0,694","POPULARITY","2024-12-06T11:49:39.693034945"
"USR_000842","PROD_000442","0,827","CONTENT_BASED","2024-12-06T02:49:39.693052404"
"USR_000842","PROD_000299","0,971","TRENDING","2024-12-06T04:49:39.693067623"
"USR_000842","PROD_000131","0,555","COLLABORATIVE","2024-12-06T10:49:39.693087941"
"USR_000842","PROD_000019","0,591","TRENDING","2024-12-06T06:49:39.693103517"
"USR_000842","PROD_000202","0,564","COLLABORATIVE","2024-12-06T11:49:39.693120642"
"USR_000317","PROD_000327","0,504","COLLABORATIVE","2024-12-06T12:49:39.693138331"
"USR_000317","PROD_000304","0,702","CONTENT_BASED","2024-12-06T15:49:39.693153268"
"USR_000317","PROD_000018","0,706","CONTENT_BASED","2024-12-06T13:49:39.693165994"
"USR_000317","PROD_000365","0,724","CONTENT_BASED","2024-12-06T04:49:39.693201629"
"USR_000317","PROD_000330","0,674","TRENDING","2024-12-06T18:49:39.693218215"
"USR_000423","PROD_000145","0,726","CONTENT_BASED","2024-12-06T15:49:39.693235452"
"USR_000423","PROD_000362","0,607","POPULARITY","2024-12-06T14:49:39.693250787"
