"user_id","age_group","gender","location","preferred_categories","avg_order_value","total_orders","member_since","last_purchase_date"
"USR_000000","25-34","F","Los Angeles","ELECTRONICS|HOME|CLOTHING","429,32","22","2023-11-21","2024-06-02"
"USR_000001","55-64","M","Chicago","ELECTRONICS|CLOTHING|BOOKS","173,75","46","2023-04-12","2024-04-07"
"USR_000002","65+","M","Chicago","CLOTHING|HOME|ELECTRONICS","312,55","8","2024-03-23","2024-04-12"
"USR_000003","55-64","F","Chicago","ELECTRONICS|BOOKS|HOME","433,26","29","2022-12-22","2023-09-12"
"USR_000004","35-44","M","New York","CLOTHING|ELECTRONICS|HOME","57,88","36","2024-03-08","2024-07-01"
"USR_000005","35-44","F","Miami","ELECTRONICS|HOME|BOOKS","491,16","39","2024-05-01","2024-09-25"
"USR_000006","35-44","M","Los Angeles","ELECTRONICS|BOOKS|HOME","351,11","26","2024-01-02","2024-02-13"
"USR_000007","45-54","F","Houston","ELECTRONICS|BOOKS|HOME","480,64","35","2024-02-01","2024-12-05"
"USR_000008","25-34","M","Chicago","HOME|BOOKS|ELECTRONICS","479,82","21","2022-12-23","2023-03-14"
"USR_000009","65+","F","New York","HOME|ELECTRONICS|CLOTHING","171,45","33","2024-10-18","2024-11-20"
"USR_000010","65+","F","Chicago","ELECTRONICS|CLOTHING|HOME","168,88","23","2024-03-15","2024-04-12"
"USR_000011","18-24","M","Miami","ELECTRONICS|BOOKS|CLOTHING","153,85","21","2024-03-14","2024-09-16"
"USR_000012","45-54","M","Chicago","BOOKS|CLOTHING|HOME","343,71","5","2024-01-16","2024-09-10"
"USR_000013","18-24","M","New York","HOME|BOOKS|CLOTHING","232,30","16","2024-09-08","2024-10-09"
"USR_000014","65+","F","New York","BOOKS|HOME|CLOTHING","425,62","18","2023-09-16","2024-10-13"
"USR_000015","35-44","F","Houston","ELECTRONICS|CLOTHING|BOOKS","114,05","30","2023-04-08","2023-11-18"
"USR_000016","45-54","F","Los Angeles","ELECTRONICS|CLOTHING|BOOKS","225,61","43","2023-01-15","2023-03-05"
"USR_000017","55-64","M","Miami","BOOKS|HOME|ELECTRONICS","390,51","35","2024-02-13","2024-06-25"
"USR_000018","25-34","F","Los Angeles","HOME|BOOKS|CLOTHING","215,99","22","2023-08-02","2024-07-20"
